Timestamp,Which fragrance notes do you like?,"(Optional) Which fragrance brand(s) have you used, or which brand(s) have you considered trying? If the brand is not mentioned, please input into the ""Other"" selection. Selections are in alphabetical order for your convenience :)",Favorite Fragrance's Brand:,Favorite Fragrance's Name:,"Which country do you reside in? (Please use any common abbreviations if applicable, like ""USA"" for the ""United States of America,"" ""UK"" for ""United Kingdom"", ""UAE"" for ""United Arab Emirates"", etc). "
2/10/2023 12:04:11,"Musk, Vanilla, Patchouli, Sandalwood, Bergamont, White Musk, Peach, Pear, Black Current","Ariana Grande, Armani, By Kilian, Carolina Herrera, Gucci, Maison Francis Kurkdjian, Mugler, Parfums De Marly, Prada, Tom Ford, Valentino, Yves Saint Laurent",Narciso Rodriguez ,Music Noir Rose,US
2/10/2023 12:12:58,"Musk, Vanilla, Sandalwood, Jasmine, Cedar, Lemon, Cardamom, Saffron, Tonka Bean, Cinnamon, Pink Pepper, Lavender, Cedarwood, Ginger, Orange, Ylang Ylang, Honey, Gardenia, Coconut, Almond","Al Rehab, Dior, Juliette Has a Gun, Tom Ford, Calvin Klein Obsession for Women, Molton Brown Pink Peppercorn",Calvin Klein,Obsession for Women,US
2/10/2023 12:14:13,"Musk, Vanilla, Patchouli, Sandalwood, Jasmine, Cardamom, Violet, Orange Blossom, Myrrh, Frankincense, Ylang Ylang, Honey, Orris, Coffee, Peach, Coconut","Ariana Grande, Bath & Body Works, BYREDO, By Kilian, Chanel, Gucci, Maison Francis Kurkdjian, Yves Saint Laurent, Initio",Maison francis,Baccarat 540 extrait,US
2/10/2023 12:37:18,"Vanilla, Patchouli, Sandalwood, Rose, Lemon, Cardamom, Saffron, Tonka Bean, Cinnamon, Iris, Oud, Grapefruit, Orange Blossom, Mandarin, Myrrh, Ginger, Clove, Orange, Honey, Coffee, Lime, Peach, Pear, Apple, Almond, Black Current","Al Rehab, Ariana Grande, Britney Spears, Bvlgari, By Kilian, Carolina Herrera, Givenchy, Juliette Has a Gun, Kayali Fragrances, Lattafa Perfumes, Mix Bar, Pacifica, Parfums De Marly, Replica",Givenchy,Irresistible Rose Velvet,US
2/10/2023 12:39:28,"Musk, Bergamont, Jasmine, Vetiver, Cedar, Leather, Lavender, Oakmoss, Geranium, Tobacco, Clove, Ylang Ylang, Moss, Gardenia, Almond","Juliette Has a Gun, Prada, Versace, Glossier, & Molecule 1",Molecule,Molecule 1,US
2/10/2023 13:34:14,"Vanilla, Jasmine, Cinnamon, Lavender, Peach, Almond","Armani, Bath & Body Works",Armani ,Armani Aqua di giorgino ,US
2/10/2023 13:38:13,"Musk, Vanilla, Sandalwood, Cedar, Incense, Oud, Cedarwood, Tobacco, White Musk, Gardenia, Magnolia","Armani, Bath & Body Works, Bvlgari, Carolina Herrera, Dior, Dossier, Givenchy, Gucci, Kayali Fragrances, Versace, Yves Saint Laurent",YSK,Libré or Black Opium ,US
2/10/2023 14:15:03,"Vanilla, Sandalwood, Amber, Rose, Jasmine, Tonka Bean, Cinnamon, Mandarin, Clove, Orange, Coffee, Peach","Bath & Body Works, Juliette Has a Gun, Pacifica, Philosophy",Philosophy,Fresh cream warm cashmere,US
2/10/2023 17:35:13,"Vanilla, Jasmine, Pear, Apple","Ariana Grande, Bath & Body Works, Britney Spears, Coach, Valentino",Valentino,Born in Roma,US
2/10/2023 22:18:21,"Musk, Vanilla, Cardamom, Cinnamon, Oud, Honey, Coconut","Dior, Prada, Tom Ford, Yves Saint Laurent",Dior,Sauvage,US
